myelinArea,axonArea,myelinEquivDiameter,axonEquivDiameter,gRatio,myelinThickness
18.44,10.88,6.109941,3.721941,0.6091615,1.194
4.49,2.53,2.989672,1.794797,0.6003323,0.5974377
2.78,1.98,2.461833,1.58777,0.6449546,0.4370313
6.22,2.76,3.381374,1.874604,0.5543913,0.7533848
9.68,3.52,4.099605,2.117027,0.5163977,0.9912891
3.96,2.46,2.859056,1.769794,0.6190134,0.544631
3.39,2.13,2.651091,1.646815,0.621184,0.5021378
3.23,0.99,2.317989,1.122723,0.4843523,0.5976328
5.73,3.62,3.450332,2.146888,0.6222265,0.6517221
1.57,1.35,1.928175,1.311058,0.6799476,0.3085585
2.54,0.96,2.111004,1.105581,0.5237229,0.5027114
1.78,1.1,1.914923,1.183454,0.6180165,0.3657345
2.18,2.15,2.348005,1.654529,0.7046529,0.3467382
1.3,1.04,1.726088,1.150725,0.6666667,0.2876813
1.13,0.87,1.595769,1.052482,0.6595453,0.2716435
7.37,2.45,3.535988,1.766193,0.4994906,0.8848976
2.09,1.48,2.13201,1.372733,0.6438679,0.3796385
1.71,1.46,2.009022,1.363426,0.6786515,0.3227981
1.14,0.97,1.639066,1.111325,0.6780233,0.2638704
1.23,0.64,1.543035,0.9027033,0.585018,0.320166
8.85,4.3,4.091834,2.339857,0.5718358,0.8759884
2.01,1.62,2.149851,1.436192,0.6680426,0.3568295
4.06,1.38,2.63181,1.325545,0.5036631,0.6531323
1.53,0.94,1.773387,1.094004,0.6169009,0.3396915
8.1,2.78,3.721941,1.881384,0.5054846,0.9202786
2.27,1.28,2.126029,1.276615,0.6004693,0.424707
7.4,3.23,3.678931,2.027946,0.5512323,0.8254929
7.92,3.16,3.755995,2.005851,0.5340399,0.8750719
3.16,2.36,2.651091,1.733449,0.6538625,0.458821
4.38,2.23,2.901054,1.685029,0.5808336,0.6080123
4.25,2.59,2.951094,1.815954,0.6153495,0.56757
1.95,1.22,2.009022,1.246336,0.6203693,0.3813432
11.27,8.67,5.03869,3.322497,0.659397,0.8580965
1.12,0.73,1.534762,0.9640876,0.6281676,0.285337
1.14,0.87,1.599754,1.052482,0.6579025,0.2736358
1.48,0.88,1.733449,1.058513,0.61064,0.3374678
0.68,0.53,1.241217,0.8214724,0.6618281,0.2098724
1.48,0.99,1.773387,1.122723,0.6330953,0.325332
6.52,3.49,3.570032,2.107986,0.590467,0.7310228
1.99,1.37,2.068353,1.320734,0.6385437,0.3738096
5.12,3.72,3.354913,2.176339,0.6487021,0.5892868
4.7,2.16,2.955406,1.658372,0.5611317,0.6485169
0.99,0.68,1.458187,0.9304853,0.638111,0.263851
2.59,1.48,2.276419,1.372733,0.6030228,0.4518433
2.36,1.19,2.126029,1.230916,0.5789744,0.4475564
2.37,1.47,2.211163,1.368087,0.6187184,0.4215378
6.75,4.67,3.813187,2.438448,0.6394777,0.6873696
2.06,0.9,1.941337,1.070474,0.5514109,0.4354312
2.88,1.58,2.382992,1.418351,0.5951975,0.4823205
1.51,1.18,1.85068,1.225734,0.6623154,0.312473
1,1.01,1.599754,1.134007,0.7088635,0.2328733
1.84,1.46,2.049803,1.363426,0.6651498,0.3431884
0.87,0.85,1.479855,1.040314,0.7029837,0.2197706
8.11,4.15,3.950939,2.298683,0.5818068,0.8261278
1.32,1.05,1.737118,1.156245,0.665611,0.2904366
2.36,1.47,2.208282,1.368087,0.6195257,0.4200972
3.34,1.53,2.490116,1.395728,0.5605072,0.5471939
1.89,1.18,1.97708,1.225734,0.6199716,0.3756732
11.2,12.91,5.54056,4.054321,0.7317529,0.7431195
1.28,0.76,1.611648,0.9836981,0.610368,0.3139748
1.2,0.89,1.631279,1.064511,0.6525621,0.2833841
2.49,2.24,2.454063,1.688803,0.6881663,0.3826297
12.75,6.02,4.88863,2.768556,0.5663255,1.060037
7.42,4.23,3.851395,2.320733,0.6025696,0.7653307
1.7,1.12,1.894871,1.194164,0.6302088,0.3503533
1.47,1.09,1.805407,1.178062,0.6525192,0.3136721
2.94,1.33,2.33168,1.30131,0.5580998,0.515185
16.38,6.25,5.367812,2.820948,0.5255303,1.273432
3.96,2.08,2.773151,1.627372,0.5868312,0.5728898
0.7,0.66,1.315905,0.9166996,0.6966305,0.1996027
0.95,0.87,1.522267,1.052482,0.6913913,0.2348923
5.7,2.93,3.314824,1.931474,0.5826777,0.6916749
6.32,3.48,3.532386,2.104964,0.5959044,0.7137108
8.69,5.04,4.181098,2.533205,0.6058708,0.8239465
1.41,0.91,1.718696,1.076405,0.6262918,0.3211454
3.26,2.09,2.609949,1.631279,0.6250234,0.4893349
7.01,2.91,3.553946,1.924871,0.541615,0.8145379
9.47,8.17,4.739192,3.22527,0.6805527,0.7569611
1.41,0.8,1.677456,1.009253,0.6016569,0.3341016
4.81,2.02,2.948936,1.603728,0.5438327,0.6726042
3.68,2.1,2.712807,1.635177,0.6027618,0.5388154
1.22,0.99,1.677456,1.122723,0.669301,0.2773666
3.54,2.5,2.773151,1.784124,0.6433563,0.4945135
2.21,1.92,2.293138,1.563528,0.6818292,0.3648047
0.94,0.82,1.496964,1.021791,0.6825753,0.2375867
1.92,1.1,1.960914,1.183454,0.6035216,0.3887299
2.09,1.33,2.086739,1.30131,0.6236095,0.3927143
4.08,2.36,2.863505,1.733449,0.6053591,0.5650281
2.92,2.11,2.53069,1.639065,0.6476752,0.4458125
5.19,2.34,3.096368,1.726088,0.5574558,0.6851398
2.49,2.14,2.427983,1.650676,0.6798552,0.388653
1.21,1.02,1.685029,1.139607,0.6763129,0.2727112
4.18,2.61,2.940289,1.822952,0.6199909,0.5586681
11.09,7.53,4.869058,3.096368,0.6359276,0.8863449
1.27,1.03,1.711272,1.14518,0.6691981,0.2830459
5.68,2.32,3.191538,1.718696,0.5385165,0.7364211
9.8,8.4,4.81383,3.270353,0.6793662,0.7717383
11.19,10.13,5.210131,3.591367,0.6893045,0.8093821
2.42,1.49,2.231225,1.377362,0.617312,0.4269316
5.16,3.7,3.358705,2.170481,0.6462254,0.5941123
3.6,1.82,2.626968,1.522267,0.5794768,0.5523505
1.17,0.76,1.567594,0.9836981,0.6275208,0.2919481
1.36,1.12,1.776973,1.194164,0.6720215,0.2914045
4.32,2.37,2.918557,1.737118,0.5951975,0.5907195
3.74,1.94,2.689238,1.57165,0.5844222,0.5587938
9.17,9.54,4.880811,3.485212,0.7140642,0.6977992
1.63,1,1.829924,1.128379,0.6166264,0.3507722
9.2,2.43,3.848087,1.758969,0.4571022,1.044559
3.15,2.06,2.575573,1.619529,0.6288032,0.4780223
7.96,3.61,3.838148,2.14392,0.558582,0.8471138
3.66,2.34,2.763953,1.726088,0.6244998,0.5189325
2.13,1.89,2.262393,1.551265,0.6856743,0.3555642
4.24,1.96,2.809641,1.579731,0.5622535,0.6149552
2.33,1.39,2.176339,1.330339,0.611274,0.4229997
2.37,2.19,2.409559,1.669849,0.6930102,0.3698549
1.98,1.25,2.027946,1.261566,0.6220908,0.3831897
11.8,8.11,5.034898,3.213405,0.6382264,0.9107466
1.41,1.09,1.784124,1.178062,0.6603029,0.3030308
1.69,0.83,1.791246,1.028002,0.5739034,0.381622
2.7,2.06,2.461833,1.619529,0.6578549,0.421152
1.55,1.17,1.86097,1.220529,0.655856,0.3202209
7.35,1.98,3.44664,1.58777,0.460672,0.9294347
1.31,0.83,1.650676,1.028002,0.6227764,0.311337
7.67,2.14,3.534187,1.650676,0.4670597,0.9417554
1.19,1.16,1.729772,1.215302,0.7025788,0.2572355
4.28,3.02,3.048713,1.960914,0.6431941,0.5438994
1.7,1.26,1.941337,1.266603,0.6524383,0.3373672
1.89,0.74,1.829924,0.9706684,0.5304421,0.4296275
2.37,1.77,2.295912,1.501211,0.6538625,0.3973506
1.38,0.88,1.696326,1.058513,0.6240036,0.3189062
3.05,1.07,2.290359,1.167204,0.5096163,0.5615775
1.28,1.06,1.726088,1.161737,0.6730464,0.2821754
3.28,1.59,2.490116,1.422832,0.5713919,0.5336418
3.8,1.97,2.71046,1.583756,0.5843126,0.563352
3.62,2.3,2.745465,1.711272,0.6233085,0.5170967
14.43,6.11,5.113936,2.789174,0.5454066,1.162381
8.39,6.64,4.374562,2.90763,0.6646677,0.733466
5.55,3.1,3.318663,1.986717,0.5986497,0.6659731
9.98,3.83,4.193261,2.208282,0.5266263,0.9924896
9.07,4.19,4.108912,2.309735,0.562128,0.8995887
2.57,1.69,2.328948,1.466893,0.6298521,0.4310278
1.35,1.01,1.733449,1.134007,0.6541911,0.299721
6.79,3.08,3.544979,1.980297,0.5586203,0.7823408
3.06,2.06,2.553231,1.619529,0.6343057,0.4668509
1.44,0.8,1.688803,1.009253,0.5976143,0.3397751
2.49,0,1.780552,0,0,0.8902761
1.28,1.06,1.726088,1.161737,0.6730464,0.2821754
10.42,4.76,4.396337,2.461833,0.5599737,0.9672519
6.65,3.69,3.628402,2.167546,0.597383,0.730428
0.83,0.74,1.413855,0.9706684,0.6865403,0.2215933
2.35,1.62,2.24828,1.436192,0.6387961,0.4060437
8.26,7.73,4.512106,3.137219,0.6952893,0.6874435
2.39,0.88,2.040464,1.058513,0.5187612,0.4909753
2.24,2.01,2.326213,1.599754,0.6877072,0.3632299
1.73,0.97,1.854116,1.111325,0.5993824,0.3713958
12.99,5.6,4.865133,2.670233,0.5488508,1.09745
2.99,0,1.95115,0,0,0.975575
2.97,1.77,2.456655,1.501211,0.6110792,0.4777222
0.66,0.68,1.306193,0.9304853,0.7123641,0.187854
1.48,0.97,1.766193,1.111325,0.6292205,0.3274341
1.16,0.86,1.603728,1.046416,0.6524895,0.2786561
1.4,1.06,1.769794,1.161737,0.6564254,0.304028
12.03,7.84,5.029838,3.159462,0.6281439,0.9351879
2.8,1.89,2.443664,1.551265,0.634811,0.4461996
3.85,2.64,2.8746,1.833399,0.6377928,0.5206004
10.43,6.47,4.638722,2.870167,0.6187409,0.8842776
1.56,0.83,1.744432,1.028002,0.589305,0.3582147
2.42,1.97,2.364217,1.583756,0.6698859,0.3902307
4.81,2.37,3.023551,1.737118,0.574529,0.6432167
2.71,1.06,2.190916,1.161737,0.5302519,0.5145893
1.8,1,1.888139,1.128379,0.5976143,0.3798802
10.94,7.61,4.859896,3.112772,0.6405019,0.8735619
2.59,1.7,2.337135,1.471226,0.6295001,0.4329541
12.67,3.3,4.509283,2.049803,0.4545739,1.22974
1.43,1.1,1.794797,1.183454,0.6593804,0.3056715
1.84,1.38,2.024804,1.325545,0.6546537,0.3496293
5.96,2.4,3.262558,1.748078,0.5357997,0.7572401
3.25,2.13,2.617256,1.646815,0.6292144,0.4852204
3.36,1.94,2.597724,1.57165,0.6050106,0.5130368
1.83,1.34,2.009022,1.306193,0.6501638,0.3514143
4.64,2.63,3.042442,1.829924,0.6014655,0.606259
7.15,5.16,3.958987,2.563185,0.6474345,0.6979011
5.11,2.48,3.10868,1.776973,0.5716167,0.6658531
2.36,2.04,2.366908,1.611648,0.6809084,0.3776302
0.73,0.62,1.311058,0.8884866,0.6776866,0.2112858
2.46,2.22,2.441057,1.681247,0.6887372,0.3799052
10.26,5.93,4.540236,2.747783,0.605207,0.8962269
11.38,5.39,4.620847,2.619687,0.5669279,1.00058
3.45,1.01,2.382992,1.134007,0.4758754,0.6244923
2.71,1.66,2.358825,1.453815,0.61633,0.4525052
2.38,1.93,2.342576,1.567594,0.6691754,0.3874908
1.17,1.09,1.696326,1.178062,0.6944789,0.2591317
3.4,1.74,2.558213,1.488434,0.581826,0.534889
2.47,2.32,2.469578,1.718696,0.6959471,0.3754412
1.81,1.27,1.980297,1.271619,0.6421353,0.3543393
1.26,0.81,1.623455,1.015541,0.6255432,0.3039569
1.54,0.89,1.758969,1.064511,0.6051902,0.3472291
